Absolute Time,Relative Time,Action
11:00:43,N/A,Experimenter Ready
11:00:46,N/A,Participant Ready
11:02:23,00:00:00,Procedure started.
11:02:25,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
11:02:52,00:00:29,P2: Wash your hands with soap and water.
11:03:07,00:00:44,P3: Place the bag of supplies on the clean counter.
11:03:22,00:00:58,P4: Remove the gauze covering your fake wound.
11:03:37,00:01:13,P4Q: Unanswerable
11:04:23,00:01:59,P5: Gently wash the fake wound with soap and water.
11:04:44,00:02:21,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
11:04:52,00:02:28,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
11:05:11,00:02:47,P8: Pat the wound dry with the new gauze pad.
11:05:26,00:03:03,P8: Pat the wound dry with the new gauze pad.
11:05:35,00:03:11,P8Q: Unanswerable
11:05:49,00:03:25,P9: Cut the Telfa non-stick dressing.
11:06:22,00:03:58,P9: Cut the Telfa non-stick dressing.
11:06:29,00:04:06,P9: Cut the Telfa non-stick dressing.
11:06:37,00:04:14,P9Q1: How should I cut the dressing?/What size do I cut the dressing?
11:07:04,00:04:41,P10: Open the Vaseline.
11:07:16,00:04:53,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
11:07:26,00:05:03,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
11:08:01,00:05:37,P13: Please throw away the supply bag and any trash.
11:08:19,00:05:56,P13: Please throw away the supply bag and any trash.
11:09:02,00:06:39,P14: All of the steps are complete. Thank you for your participation.
11:09:03,00:06:40,P14: All of the steps are complete. Thank you for your participation.
11:09:13,00:06:50,Procedure ended.
