Absolute Time,Relative Time,Action
9:47:37,N/A,Experimenter Ready
9:47:42,N/A,Participant Ready
9:48:03,00:00:00,Procedure started.
9:48:05,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
9:48:54,00:00:50,P1: Please use a paper towel and spray bottle to clean the counter.
9:49:13,00:01:09,P2: Wash your hands with soap and water.
9:49:27,00:01:24,P3: Place the bag of supplies on the clean counter.
9:49:36,00:01:33,P4: Remove the gauze covering your fake wound.
9:49:46,00:01:42,P5: Gently wash the fake wound with soap and water.
9:50:00,00:01:56,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
9:50:08,00:02:04,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
9:50:36,00:02:32,P8: Pat the wound dry with the new gauze pad.
9:50:50,00:02:46,P9: Cut the Telfa non-stick dressing.
9:51:10,00:03:07,P10: Open the Vaseline.
9:51:27,00:03:24,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
9:51:41,00:03:38,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
9:52:10,00:04:07,P13: Please throw away the supply bag and any trash.
9:52:27,00:04:24,P14: All of the steps are complete. Thank you for your participation.
9:52:36,00:04:32,Procedure ended.
