Absolute Time,Relative Time,Action
8:56:57,N/A,Experimenter Ready
8:56:58,N/A,Participant Ready
8:58:10,00:00:00,Procedure started.
8:58:12,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
8:58:33,00:00:23,P2: Wash your hands with soap and water.
8:58:56,00:00:47,P3: Place the bag of supplies on the clean counter.
8:59:09,00:00:59,P4: Remove the gauze covering your fake wound.
8:59:26,00:01:16,P4Q1: Where should I put the gauze?
8:59:36,00:01:26,P5: Gently wash the fake wound with soap and water.
8:59:58,00:01:48,P5Q: Unanswerable
9:00:12,00:02:02,P5Q: Unanswerable
9:00:20,00:02:10,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
9:00:27,00:02:17,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
9:00:42,00:02:32,P8: Pat the wound dry with the new gauze pad.
9:00:59,00:02:49,P9Q1: How should I cut the dressing?/What size do I cut the dressing?
9:01:18,00:03:08,P9: Cut the Telfa non-stick dressing.
9:01:21,00:03:11,P9Q: Unanswerable
9:01:32,00:03:23,P10: Open the Vaseline.
9:01:48,00:03:38,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
9:02:11,00:04:02,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
9:03:02,00:04:52,P12Q2: How do I tape the dressing on?
9:03:16,00:05:06,P13: Please throw away the supply bag and any trash.
9:03:30,00:05:21,P13Q: Unanswerable
9:03:36,00:05:26,P14: All of the steps are complete. Thank you for your participation.
9:03:42,00:05:32,Procedure ended.
