Absolute Time,Relative Time,Action
11:03:46,N/A,Experimenter Ready
11:03:48,N/A,Participant Ready
11:05:45,00:00:00,Procedure started.
11:05:47,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
11:06:06,00:00:20,P1Q2: Where is the trashcan?
11:06:15,00:00:30,P2: Wash your hands with soap and water.
11:06:26,00:00:41,P2Q4: Do I need to dry my hands?/What do I dry my hands with?
11:06:41,00:00:55,P3: Place the bag of supplies on the clean counter.
11:06:54,00:01:08,P4: Remove the gauze covering your fake wound.
11:07:06,00:01:21,P4: Remove the gauze covering your fake wound.
11:07:27,00:01:41,P4Q1: Where should I put the gauze?
11:07:40,00:01:55,P5: Gently wash the fake wound with soap and water.
11:07:56,00:02:10,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
11:08:03,00:02:18,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
11:08:09,00:02:24,P8: Pat the wound dry with the new gauze pad.
11:08:23,00:02:38,P8Q2: How dry does the wound need to be?
11:08:35,00:02:50,P9: Cut the Telfa non-stick dressing.
11:08:39,00:02:53,P9Q1: How should I cut the dressing?/What size do I cut the dressing?
11:08:49,00:03:03,P9Q1: How should I cut the dressing?/What size do I cut the dressing?
11:09:00,00:03:15,P10: Open the Vaseline.
11:09:07,00:03:22,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
11:09:19,00:03:34,P11Q3: How should I spread the Vaseline?
11:09:29,00:03:44,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
11:09:35,00:03:50,P12Q1: How much tape should I use?
11:09:52,00:04:07,P13: Please throw away the supply bag and any trash.
11:10:00,00:04:15,P14: All of the steps are complete. Thank you for your participation.
11:10:30,00:04:44,Procedure ended.
