Absolute Time,Relative Time,Action
12:29:16,N/A,Experimenter Ready
12:29:18,N/A,Participant Ready
12:29:35,00:00:00,Procedure started.
12:29:37,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
12:30:50,00:01:15,P1: Please use a paper towel and spray bottle to clean the counter.
12:31:08,00:01:34,P2: Wash your hands with soap and water.
12:31:19,00:01:44,P3: Place the bag of supplies on the clean counter.
12:31:29,00:01:55,P4: Remove the gauze covering your fake wound.
12:31:44,00:02:09,P5: Gently wash the fake wound with soap and water.
12:31:55,00:02:20,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
12:32:04,00:02:29,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
12:32:26,00:02:52,P8: Pat the wound dry with the new gauze pad.
12:32:38,00:03:03,P9: Cut the Telfa non-stick dressing.
12:33:05,00:03:30,P10: Open the Vaseline.
12:33:17,00:03:43,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
12:33:34,00:04:00,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
12:33:55,00:04:20,P13: Please throw away the supply bag and any trash.
12:34:11,00:04:36,P14: All of the steps are complete. Thank you for your participation.
12:34:19,00:04:44,Procedure ended.
