Absolute Time,Relative Time,Action
11:44:37,N/A,Experimenter Ready
11:44:38,N/A,Participant Ready
11:46:02,00:00:00,Procedure started.
11:46:04,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
11:46:30,00:00:28,P1Q1: Why do I need to clean the counter?
11:46:40,00:00:38,P1Q2: Where is the trashcan?
11:46:47,00:00:45,P2: Wash your hands with soap and water.
11:47:11,00:01:09,P2Q4: Do I need to dry my hands?/What do I dry my hands with?
11:47:23,00:01:22,P3: Place the bag of supplies on the clean counter.
11:47:41,00:01:39,P4: Remove the gauze covering your fake wound.
11:48:07,00:02:05,P4Q1: Where should I put the gauze?
11:48:22,00:02:21,P5: Gently wash the fake wound with soap and water.
11:48:49,00:02:48,P5Q3: How long should I wash my wound for?
11:48:56,00:02:54,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
11:49:11,00:03:09,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
11:49:21,00:03:19,P8: Pat the wound dry with the new gauze pad.
11:49:38,00:03:36,P8: Pat the wound dry with the new gauze pad.
11:49:55,00:03:53,P9: Cut the Telfa non-stick dressing.
11:50:07,00:04:05,P9Q1: How should I cut the dressing?/What size do I cut the dressing?
11:50:14,00:04:12,P10: Open the Vaseline.
11:50:28,00:04:26,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
11:50:44,00:04:42,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
11:51:20,00:05:18,P13: Please throw away the supply bag and any trash.
11:51:40,00:05:38,P14: All of the steps are complete. Thank you for your participation.
11:51:40,00:05:38,P14: All of the steps are complete. Thank you for your participation.
11:51:59,00:05:57,Procedure ended.
